DayOfMonth,MinTemp,MaxTemp,Precipitation
21,6.1,9.7,34.7
22,2.9,8.7,3.7
23,3.9,7.6,20.3
24,1.9,6.9,9.1
25,0.9,8.8,18.1
26,2.7,6.1,0.6
27,5.6,9,17.3
28,7.2,8.7,3.8
29,6.9,8.5,3.2
30,3.4,7.6,5.5
31,-0.7,5.9,13
1,2.4,7.2,0.9
2,3.8,10.4,0
3,7.7,10.6,0.1
4,3.9,19.3,0
5,4.6,19.8,0
6,4.6,14.3,0
7,0.3,14.5,0
8,2,12.6,0
9,-0.1,9,0
10,0.4,8,0.2
11,3.6,8.8,0
12,-0.9,10.8,0
13,-0.4,12.5,0
14,-0.1,12.7,0
15,0.3,13.2,0
16,0.7,16,0
17,4.3,15.4,0.1
18,4.9,17.9,0.1
19,6,18.8,0
20,8.2,16.6,0
21,9,17.2,0.5
22,10.4,20.1,0
23,6.4,21.6,0.2
24,11.4,20.5,0
25,11.9,21.2,0.4
26,10.1,16.8,1.5
27,9.9,12.3,0.5
28,9.2,17.1,8
29,7.4,21.7,0.4
30,8,17.8,0
1,7.9,11.6,0.1
2,4.8,9.7,1.3
3,0.6,9.7,2.2
4,2.7,10.3,0.1
5,3.4,9.9,0.6
6,2.1,11.3,2.4
7,1.2,10.6,1.7
8,0.7,9.4,0.1
9,2.6,10.3,1.8
10,6.2,11,5.2
11,5.2,12,1.1
12,3.9,11.7,0.2
13,2.5,11.7,1.2
14,5.3,14.6,0.1
15,6.6,19.8,0
16,6.8,20.8,0
17,8.9,24.3,0
18,14.1,21.7,0
19,8,20.9,0.1
20,11,21.8,0
21,10.8,23.4,0.9
22,10.5,19.1,12.2
23,7.9,13.8,7.6
24,7.6,15.6,21.5
25,8,11.9,0.1
26,5,14,6.9
27,6,14,0
28,3.7,11.3,0
29,2.8,10,3.9
30,6.1,11.9,6.9
31,6.4,11.7,11.7
1,7.4,13.3,22.6
2,8.8,16.3,5.3
3,12.3,16.2,23.3
4,11.9,15.4,0
5,9.1,16.6,0
6,10.3,28.1,2.9
7,10.8,19.5,6.1
8,10,19.6,0.2
9,11,14.4,7.2
10,8.5,13.6,21.3
11,7.5,23.1,0.2
12,17,22.3,0
13,12.2,19.5,3.8
14,13.1,21.1,3.3
15,10.2,25.3,1
16,13.6,21.2,7.1
17,10.4,18.2,0.2
18,12.9,17.8,3.4
19,11.5,20,0
20,12.2,15.5,0
21,10.2,14.2,2.4
22,10,15.6,9.8
23,12,17.6,1.9
24,8.2,21.1,0
25,13.2,16.2,34
26,12.1,16.4,3
27,10.8,18.8,0
28,9.5,18.4,0
29,12.4,19.2,0
30,13.5,18.7,0.6
1,11.1,14.1,24.2
2,7.4,14.5,13
3,6.7,12.4,11.2
4,8.8,16.6,7.4
5,6.2,17.2,1.3
6,9.1,20.1,6.4
7,11.4,14.5,2.9
8,10.9,15.4,3.1
9,11.2,16.8,0.1
10,12.3,19.9,0.1
11,10.8,21.7,0
12,12.7,21,0
13,13.1,19.7,0
14,11.4,16.9,0
15,10.6,19.1,0
16,10.8,20.8,0
17,11.1,20.5,0
18,12.7,18.8,0
19,13.3,20.2,7.9
20,11.4,18.1,0
21,13.4,15.9,20.4
22,12.4,20,3
23,14.3,23.6,1.8
24,14.7,26,2.1
25,18.8,25.8,0.3
26,16.4,33.4,0
27,18.3,31,0
28,17.5,31.8,0
29,18.8,27.9,0.9
30,17.6,25.8,0
31,15.3,18.3,45.4
1,13.7,23.6,6.9
2,15.9,22.7,0
3,16,21,0
4,14.5,21,0
5,14.9,19.9,0
6,13.7,20.2,0
7,14.5,22.2,31.3
8,14.4,21.6,0.9
9,14.7,23.3,0
10,15.2,22.4,5.1
11,15.8,18.8,35.9
12,12.9,17.7,41.8
13,11.2,13.6,17.7
14,9.8,16,3.8
15,8.5,21.7,10.9
16,11.3,16.9,14.1
17,14,18.3,5.5
18,12.3,18.2,15.4
19,12.3,16,19.3
20,12.3,16.9,24.9
21,10.1,16.9,8.9
22,11.3,17.1,7
23,12.9,17.8,20.7
24,14.1,21.2,6.9
25,17.3,22.1,0.9
26,15.2,25.6,0
27,16.3,26,0.3
28,17,27.8,2.8
29,13.7,18.6,34.6
30,13.5,16.8,31.5
31,15.3,21.5,52.5
1,11.3,19.8,1
2,8.3,14.9,7.5
3,9,14.9,10.8
4,8.5,13.3,11.1
5,9,13.8,40.1
6,7.5,15.6,8.1
7,9.9,17.1,4.7
8,6.1,17.8,0
9,8.8,15.8,0
10,11,19.7,0
11,11.7,15,0.8
12,11,14.7,20.3
13,9.1,14.1,17.3
14,8.8,12.9,8.7
15,8.3,13.1,75.1
16,7,11.9,13.6
17,5.1,11.6,15.5
18,6.9,13.5,11.2
19,3.5,10.2,0.4
20,7.8,12.5,5.8
21,6.1,20,2.1
22,6.9,22.3,0
23,7.9,22.1,0
24,8,17.9,0
25,7.6,18.5,0
26,8.4,19.8,0
27,12.2,17.6,1.9
28,10,19.2,3.1
29,11.6,15.5,0
30,5.4,12.2,0.4
1,4.9,9.4,15.7
2,4.7,15.3,12.6
3,5,13.5,0
4,6.9,12.2,0
5,1.3,11.7,0
6,1.3,11.4,0
7,1.3,9.2,0
8,7,10.8,4.8
9,8.7,11.5,1.3
10,9.3,11.1,18
11,7.6,11.4,17.9
12,8.2,12.1,46.8
13,7.3,12.6,12.3
14,4.4,12.6,3.9
15,8.4,13,1.5
16,8.9,13.1,1.5
17,9.5,12.5,0.3
18,7.4,14.2,12.3
19,5.2,12.4,0
20,5.4,13.1,0.2
21,2.6,9.3,0
22,7.4,10.7,8.7
23,9.8,11.1,62.5
24,11,13.1,2.1
25,5.4,11.4,30.7
26,4.3,8.2,9.9
27,3.4,9.6,12.9
28,1.8,8.7,0
29,1.7,7.9,0
30,0.8,6.5,1.4
31,5.2,8.3,14.9
1,4.7,8.2,5.4
2,0,9.4,0
3,-0.3,10.1,0
4,0.2,8.1,0
5,-0.8,6.8,0
6,2.7,4.4,0.2
7,1.8,4.8,3.8
8,-1.6,3.5,0.1
9,-4.2,2.6,0
10,-3.5,2.7,0
11,-4.7,1.5,0
12,-0.2,7,0
13,2.7,5.5,28
14,-1.2,3.1,4.3
15,0.5,7.5,0.3
16,0.6,4.4,0
17,0.4,4.6,0
18,-0.7,5.8,0
19,0.4,4.8,0
20,-2,2.1,0
21,-0.2,8.1,0
22,4.3,11.7,0.9
23,4.6,8.6,0.7
24,3.6,7,0.3
25,5.7,7.9,0
26,5.3,6.2,1.5
27,4.2,6.8,2.1
28,3.4,5.8,0.8
29,0.8,3.7,0
30,-0.1,3.5,10.1
1,0.1,3.1,6.6
2,0.3,2,11.4
3,2,8.4,5
4,6.6,8.6,10
5,6,8.6,11.4
6,4.8,7.7,45.3
7,1.3,5.2,13.2
8,1.5,8.2,9.8
9,2.4,6.6,24.2
10,-1.1,5.6,0
11,5.6,8.5,40.6
12,4,7.5,4.2
13,3,6.9,7
14,-0.1,3.3,0
15,2.4,5.3,0.3
16,1.4,5.6,6.6
17,0.1,6.3,5.9
18,3.2,5.1,3.6
19,3.5,7.8,3.6
20,7.8,13.8,6.9
21,7.1,14.2,3.4
22,2.5,7.6,0.2
23,3.4,6.1,0
24,3.5,5,2.8
25,2.3,5,9
26,-0.6,3.6,0
27,-2.2,4.9,0
28,2.6,6.7,1.4
29,6.4,9.9,27.9
30,5.4,9.2,92
31,2.9,7.4,13.2
